Subregion,Subregion code,Region code,SQMI,SQKM
Southern Asia,34,142,2606398.322,6750567.678
Northern Europe,154,150,624503.91556,1617464.1886
Southern Europe,39,150,503015.12202,1302808.3986
Northern Africa,15,2,3191543.30959,8266092.303
Polynesia,61,9,15861.08179,41080.17762
Sub-Saharan Africa,202,2,9224313.81235,23890863.1
Latin America and the Caribbean,419,19,89193.60714,231011.30645
Western Asia,145,142,1774437.00799,4595789.14389
Australia and New Zealand,53,9,3077218.8749,7969992.19159
Western Europe,155,150,423307.25384,1096365.1417
Eastern Europe,151,150,729308.96514,1888909.10709
Northern America,21,19,8292642.5721,21477931.60999
South-eastern Asia,35,142,1719540.09929,4453606.2341
Eastern Asia,30,142,4460525.36799,11552753.898
Melanesia,54,9,201643.97146,522257.57844
Micronesia,57,9,997.02444,2582.29178
Central Asia,143,142,1612211.8378,4175626.2004
